DATE,SID.TIME,SUN,SUN_P,MOON,MOON_P,MERCURY,MERCURY_P,VENUS,VENUS_P,MARS,MARS_P,JUPITER,JUPITER_P,SATURN,SATURN_P,URANUS,URANUS_P,NEPTUNE,NEPTUNE_P,PLUTO,PLUTO_P,NODE,NODE_P
04/28/2019,14:22:44,07 26,Vrushabha,19 04,Kumbha,15 03,Mesha,08 52,Mesha,18 14,Mithuna,23 53,Dhanush,20 31,Makara,02 49,Vrushabha,17 57,Meena,23 09,Makara,21 22,CN
04/29/2019,14:26:40,08 24,Vrushabha,00 53,Meena,16 38,Mesha,10 05,Mesha,18 53,Mithuna,23 50,Dhanush,20 31,Makara,02 52,Vrushabha,17 59,Meena,23 09,Makara,21 19,CN
04/30/2019,14:30:37,09 23,Vrushabha,12 45,Meena,18 15,Mesha,11 18,Mesha,19 32,Mithuna,23 47,Dhanush,20 31,Makara,02 56,Vrushabha,18 00,Meena,23 09,Makara,21 16,CN
05/01/2019,14:34:33,10 21,Vrushabha,24 44,Meena,19 54,Mesha,12 31,Mesha,20 11,Mithuna,23 43,Dhanush,20 31,Makara,02 59,Vrushabha,18 02,Meena,23 08,Makara,21 13,CN
05/02/2019,14:38:30,11 19,Vrushabha,06 55,Mesha,21 35,Mesha,13 43,Mesha,20 50,Mithuna,23 39,Dhanush,20 31,Makara,03 03,Vrushabha,18 03,Meena,23 08,Makara,21 09,CN
05/03/2019,14:42:26,12 17,Vrushabha,19 19,Mesha,23 17,Mesha,14 56,Mesha,21 29,Mithuna,23 35,Dhanush,20 31,Makara,03 06,Vrushabha,18 05,Meena,23 08,Makara,21 06,CN
05/04/2019,14:46:23,13 16,Vrushabha,01 57,Vrushabha,25 02,Mesha,16 09,Mesha,22 08,Mithuna,23 31,Dhanush,20 30,Makara,03 09,Vrushabha,18 06,Meena,23 08,Makara,21 03,CN
05/05/2019,14:50:19,14 14,Vrushabha,14 51,Vrushabha,26 48,Mesha,17 22,Mesha,22 47,Mithuna,23 27,Dhanush,20 30,Makara,03 13,Vrushabha,18 08,Meena,23 07,Makara,20 60,CN
05/06/2019,14:54:16,15 12,Vrushabha,27 58,Vrushabha,28 36,Mesha,18 35,Mesha,23 26,Mithuna,23 22,Dhanush,20 29,Makara,03 16,Vrushabha,18 09,Meena,23 07,Makara,20 57,CN
05/07/2019,14:58:13,16 10,Vrushabha,11 18,Mithuna,00 26,Vrushabha,19 48,Mesha,24 05,Mithuna,23 18,Dhanush,20 29,Makara,03 20,Vrushabha,18 11,Meena,23 07,Makara,20 54,CN
05/08/2019,15:02:09,17 08,Vrushabha,24 49,Mithuna,02 17,Vrushabha,21 00,Mesha,24 44,Mithuna,23 13,Dhanush,20 28,Makara,03 23,Vrushabha,18 12,Meena,23 06,Makara,20 50,CN
05/09/2019,15:06:06,18 06,Vrushabha,08 30,Karaka,04 11,Vrushabha,22 13,Mesha,25 23,Mithuna,23 08,Dhanush,20 27,Makara,03 26,Vrushabha,18 13,Meena,23 06,Makara,20 47,CN
05/10/2019,15:10:02,19 04,Vrushabha,22 19,Karaka,06 06,Vrushabha,23 26,Mesha,26 02,Mithuna,23 03,Dhanush,20 26,Makara,03 30,Vrushabha,18 15,Meena,23 06,Makara,20 44,CN
05/11/2019,15:13:59,20 02,Vrushabha,06 16,Simha,08 03,Vrushabha,24 39,Mesha,26 41,Mithuna,22 58,Dhanush,20 25,Makara,03 33,Vrushabha,18 16,Meena,23 05,Makara,20 41,CN
05/12/2019,15:17:55,21 00,Vrushabha,20 20,Simha,10 02,Vrushabha,25 52,Mesha,27 20,Mithuna,22 53,Dhanush,20 24,Makara,03 36,Vrushabha,18 17,Meena,23 05,Makara,20 38,CN
05/13/2019,15:21:52,21 58,Vrushabha,04 31,Kanya,12 03,Vrushabha,27 05,Mesha,27 58,Mithuna,22 47,Dhanush,20 23,Makara,03 40,Vrushabha,18 19,Meena,23 04,Makara,20 35,CN
05/14/2019,15:25:48,22 56,Vrushabha,18 46,Kanya,14 05,Vrushabha,28 17,Mesha,28 37,Mithuna,22 41,Dhanush,20 22,Makara,03 43,Vrushabha,18 20,Meena,23 04,Makara,20 31,CN
05/15/2019,15:29:45,23 54,Vrushabha,03 04,Tula,16 09,Vrushabha,29 30,Mesha,29 16,Mithuna,22 36,Dhanush,20 20,Makara,03 46,Vrushabha,18 21,Meena,23 03,Makara,20 28,CN
05/16/2019,15:33:42,24 52,Vrushabha,17 20,Tula,18 15,Vrushabha,00 43,Vrushabha,29 55,Mithuna,22 30,Dhanush,20 19,Makara,03 50,Vrushabha,18 22,Meena,23 03,Makara,20 25,CN
05/17/2019,15:37:38,25 50,Vrushabha,01 30,Vruschika,20 22,Vrushabha,01 56,Vrushabha,00 34,Karaka,22 24,Dhanush,20 17,Makara,03 53,Vrushabha,18 23,Meena,23 02,Makara,20 22,CN
05/18/2019,15:41:35,26 47,Vrushabha,15 29,Vruschika,22 30,Vrushabha,03 09,Vrushabha,01 12,Karaka,22 18,Dhanush,20 16,Makara,03 56,Vrushabha,18 24,Meena,23 01,Makara,20 19,CN
05/19/2019,15:45:31,27 45,Vrushabha,29 14,Vruschika,24 39,Vrushabha,04 22,Vrushabha,01 51,Karaka,22 12,Dhanush,20 14,Makara,03 59,Vrushabha,18 25,Meena,23 01,Makara,20 15,CN
05/20/2019,15:49:28,28 43,Vrushabha,12 39,Dhanush,26 49,Vrushabha,05 35,Vrushabha,02 30,Karaka,22 05,Dhanush,20 12,Makara,04 03,Vrushabha,18 27,Meena,22 60,Makara,20 12,CN
05/21/2019,15:53:24,29 41,Vrushabha,25 44,Dhanush,29 00,Vrushabha,06 48,Vrushabha,03 08,Karaka,21 59,Dhanush,20 10,Makara,04 06,Vrushabha,18 28,Meena,22 59,Makara,20 09,CN
05/22/2019,15:57:21,00 38,Mithuna,08 29,Makara,01 12,Mithuna,08 01,Vrushabha,03 47,Karaka,21 52,Dhanush,20 08,Makara,04 09,Vrushabha,18 29,Meena,22 59,Makara,20 06,CN
05/23/2019,16:01:17,01 36,Mithuna,20 56,Makara,03 23,Mithuna,09 14,Vrushabha,04 26,Karaka,21 46,Dhanush,20 06,Makara,04 12,Vrushabha,18 30,Meena,22 58,Makara,20 03,CN
05/24/2019,16:05:14,02 34,Mithuna,03 06,Kumbha,05 35,Mithuna,10 26,Vrushabha,05 04,Karaka,21 39,Dhanush,20 04,Makara,04 15,Vrushabha,18 30,Meena,22 57,Makara,19 60,CN
05/25/2019,16:09:11,03 31,Mithuna,15 06,Kumbha,07 46,Mithuna,11 39,Vrushabha,05 43,Karaka,21 32,Dhanush,20 02,Makara,04 18,Vrushabha,18 31,Meena,22 56,Makara,19 56,CN
05/26/2019,16:13:07,04 29,Mithuna,26 58,Kumbha,09 57,Mithuna,12 52,Vrushabha,06 22,Karaka,21 25,Dhanush,19 59,Makara,04 21,Vrushabha,18 32,Meena,22 55,Makara,19 53,CN
05/27/2019,16:17:04,05 27,Mithuna,08 49,Meena,12 07,Mithuna,14 05,Vrushabha,07 00,Karaka,21 18,Dhanush,19 57,Makara,04 25,Vrushabha,18 33,Meena,22 54,Makara,19 50,CN
05/28/2019,16:21:00,06 24,Mithuna,20 43,Meena,14 15,Mithuna,15 18,Vrushabha,07 39,Karaka,21 11,Dhanush,19 54,Makara,04 28,Vrushabha,18 34,Meena,22 54,Makara,19 47,CN
05/29/2019,16:24:57,07 22,Mithuna,02 45,Mesha,16 22,Mithuna,16 31,Vrushabha,08 17,Karaka,21 04,Dhanush,19 52,Makara,04 31,Vrushabha,18 35,Meena,22 53,Makara,19 44,CN
05/30/2019,16:28:53,08 19,Mithuna,14 60,Mesha,18 28,Mithuna,17 44,Vrushabha,08 56,Karaka,20 56,Dhanush,19 49,Makara,04 34,Vrushabha,18 35,Meena,22 52,Makara,19 41,CN
05/31/2019,16:32:50,09 17,Mithuna,27 30,Mesha,20 32,Mithuna,18 57,Vrushabha,09 35,Karaka,20 49,Dhanush,19 46,Makara,04 37,Vrushabha,18 36,Meena,22 51,Makara,19 37,CN
06/01/2019,16:36:46,10 15,Mithuna,10 18,Vrushabha,22 33,Mithuna,20 10,Vrushabha,10 13,Karaka,20 42,Dhanush,19 43,Makara,04 40,Vrushabha,18 37,Meena,22 50,Makara,19 34,CN
06/02/2019,16:40:43,11 12,Mithuna,23 26,Vrushabha,24 33,Mithuna,21 23,Vrushabha,10 52,Karaka,20 34,Dhanush,19 41,Makara,04 43,Vrushabha,18 37,Meena,22 49,Makara,19 31,CN
06/03/2019,16:44:40,12 10,Mithuna,06 51,Mithuna,26 31,Mithuna,22 37,Vrushabha,11 30,Karaka,20 27,Dhanush,19 38,Makara,04 45,Vrushabha,18 38,Meena,22 48,Makara,19 28,CN
06/04/2019,16:48:36,13 07,Mithuna,20 33,Mithuna,28 26,Mithuna,23 50,Vrushabha,12 09,Karaka,20 19,Dhanush,19 35,Makara,04 48,Vrushabha,18 39,Meena,22 47,Makara,19 25,CN
06/05/2019,16:52:33,14 05,Mithuna,04 29,Karaka,00 18,Karaka,25 03,Vrushabha,12 47,Karaka,20 12,Dhanush,19 31,Makara,04 51,Vrushabha,18 39,Meena,22 46,Makara,19 21,CN
06/06/2019,16:56:29,15 02,Mithuna,18 35,Karaka,02 08,Karaka,26 16,Vrushabha,13 25,Karaka,20 04,Dhanush,19 28,Makara,04 54,Vrushabha,18 40,Meena,22 45,Makara,19 18,CN
06/07/2019,17:00:26,15 60,Mithuna,02 48,Simha,03 56,Karaka,27 29,Vrushabha,14 04,Karaka,19 57,Dhanush,19 25,Makara,04 57,Vrushabha,18 40,Meena,22 44,Makara,19 15,CN
06/08/2019,17:04:22,16 57,Mithuna,17 04,Simha,05 41,Karaka,28 42,Vrushabha,14 42,Karaka,19 49,Dhanush,19 22,Makara,04 60,Vrushabha,18 41,Meena,22 43,Makara,19 12,CN
06/09/2019,17:08:19,17 54,Mithuna,01 19,Kanya,07 23,Karaka,29 55,Vrushabha,15 21,Karaka,19 41,Dhanush,19 18,Makara,05 02,Vrushabha,18 41,Meena,22 41,Makara,19 09,CN
06/10/2019,17:12:15,18 52,Mithuna,15 33,Kanya,09 03,Karaka,01 08,Mithuna,15 59,Karaka,19 34,Dhanush,19 15,Makara,05 05,Vrushabha,18 42,Meena,22 40,Makara,19 06,CN
06/11/2019,17:16:12,19 49,Mithuna,29 42,Kanya,10 40,Karaka,02 21,Mithuna,16 38,Karaka,19 26,Dhanush,19 11,Makara,05 08,Vrushabha,18 42,Meena,22 39,Makara,19 02,CN
06/12/2019,17:20:09,20 46,Mithuna,13 45,Tula,12 14,Karaka,03 34,Mithuna,17 16,Karaka,19 18,Dhanush,19 08,Makara,05 10,Vrushabha,18 42,Meena,22 38,Makara,18 59,CN
06/13/2019,17:24:05,21 44,Mithuna,27 40,Tula,13 45,Karaka,04 47,Mithuna,17 54,Karaka,19 11,Dhanush,19 04,Makara,05 13,Vrushabha,18 43,Meena,22 37,Makara,18 56,CN
06/14/2019,17:28:02,22 41,Mithuna,11 24,Vruschika,15 14,Karaka,06 01,Mithuna,18 33,Karaka,19 03,Dhanush,19 00,Makara,05 16,Vrushabha,18 43,Meena,22 36,Makara,18 53,CN
06/15/2019,17:31:58,23 38,Mithuna,24 57,Vruschika,16 40,Karaka,07 14,Mithuna,19 11,Karaka,18 55,Dhanush,18 57,Makara,05 18,Vrushabha,18 43,Meena,22 34,Makara,18 50,CN
06/16/2019,17:35:55,24 36,Mithuna,08 15,Dhanush,18 03,Karaka,08 27,Mithuna,19 49,Karaka,18 48,Dhanush,18 53,Makara,05 21,Vrushabha,18 43,Meena,22 33,Makara,18 47,CN
06/17/2019,17:39:51,25 33,Mithuna,21 19,Dhanush,19 24,Karaka,09 40,Mithuna,20 28,Karaka,18 40,Dhanush,18 49,Makara,05 23,Vrushabha,18 43,Meena,22 32,Makara,18 43,CN
06/18/2019,17:43:48,26 30,Mithuna,04 07,Makara,20 41,Karaka,10 53,Mithuna,21 06,Karaka,18 33,Dhanush,18 45,Makara,05 26,Vrushabha,18 44,Meena,22 31,Makara,18 40,CN
06/19/2019,17:47:44,27 28,Mithuna,16 39,Makara,21 56,Karaka,12 07,Mithuna,21 44,Karaka,18 25,Dhanush,18 41,Makara,05 28,Vrushabha,18 44,Meena,22 29,Makara,18 37,CN
06/20/2019,17:51:41,28 25,Mithuna,28 58,Makara,23 07,Karaka,13 20,Mithuna,22 22,Karaka,18 18,Dhanush,18 37,Makara,05 30,Vrushabha,18 44,Meena,22 28,Makara,18 34,CN
06/21/2019,17:55:38,29 22,Mithuna,11 05,Kumbha,24 16,Karaka,14 33,Mithuna,23 01,Karaka,18 10,Dhanush,18 33,Makara,05 33,Vrushabha,18 44,Meena,22 27,Makara,18 31,CN
06/22/2019,17:59:34,00 19,Karaka,23 03,Kumbha,25 21,Karaka,15 46,Mithuna,23 39,Karaka,18 03,Dhanush,18 29,Makara,05 35,Vrushabha,18 44,Meena,22 25,Makara,18 27,CN
06/23/2019,18:03:31,01 16,Karaka,04 55,Meena,26 24,Karaka,16 60,Mithuna,24 17,Karaka,17 56,Dhanush,18 25,Makara,05 37,Vrushabha,18 44,Meena,22 24,Makara,18 24,CN
06/24/2019,18:07:27,02 14,Karaka,16 46,Meena,27 23,Karaka,18 13,Mithuna,24 55,Karaka,17 49,Dhanush,18 21,Makara,05 40,Vrushabha,18 44,Meena,22 23,Makara,18 21,CN
06/25/2019,18:11:24,03 11,Karaka,28 41,Meena,28 18,Karaka,19 26,Mithuna,25 34,Karaka,17 41,Dhanush,18 17,Makara,05 42,Vrushabha,18 44,Meena,22 21,Makara,18 18,CN
06/26/2019,18:15:20,04 08,Karaka,10 43,Mesha,29 11,Karaka,20 39,Mithuna,26 12,Karaka,17 34,Dhanush,18 13,Makara,05 44,Vrushabha,18 43,Meena,22 20,Makara,18 15,CN
06/27/2019,18:19:17,05 05,Karaka,22 58,Mesha,29 59,Karaka,21 53,Mithuna,26 50,Karaka,17 27,Dhanush,18 08,Makara,05 46,Vrushabha,18 43,Meena,22 19,Makara,18 12,CN
06/28/2019,18:23:13,06 03,Karaka,05 30,Vrushabha,00 44,Simha,23 06,Mithuna,27 28,Karaka,17 20,Dhanush,18 04,Makara,05 48,Vrushabha,18 43,Meena,22 17,Makara,18 08,CN
06/29/2019,18:27:10,06 60,Karaka,18 21,Vrushabha,01 26,Simha,24 19,Mithuna,28 06,Karaka,17 13,Dhanush,17 60,Makara,05 50,Vrushabha,18 43,Meena,22 16,Makara,18 05,CN
06/30/2019,18:31:07,07 57,Karaka,01 35,Mithuna,02 03,Simha,25 33,Mithuna,28 45,Karaka,17 07,Dhanush,17 56,Makara,05 52,Vrushabha,18 43,Meena,22 15,Makara,18 02,CN
07/01/2019,18:35:03,08 54,Karaka,15 12,Mithuna,02 36,Simha,26 46,Mithuna,29 23,Karaka,17 00,Dhanush,17 51,Makara,05 54,Vrushabha,18 42,Meena,22 13,Makara,17 59,CN
07/02/2019,0.777083333,09 52,Karaka,29 10,Mithuna,03 06,Simha,27 60,Mithuna,00 01,Simha,16 53,Dhanush,17 47,Makara,05 56,Vrushabha,18 42,Meena,22 12,Makara,17 56,CN
07/03/2019,18:42:56,10 49,Karaka,13 27,Karaka,03 31,Simha,29 13,Mithuna,00 39,Simha,16 47,Dhanush,17 43,Makara,05 58,Vrushabha,18 42,Meena,22 10,Makara,17 53,CN
07/04/2019,18:46:53,11 46,Karaka,27 58,Karaka,03 51,Simha,00 27,Karaka,01 17,Simha,16 41,Dhanush,17 38,Makara,05 60,Vrushabha,18 41,Meena,22 09,Makara,17 49,CN
07/05/2019,18:50:49,12 43,Karaka,12 37,Simha,04 07,Simha,01 40,Karaka,01 56,Simha,16 34,Dhanush,17 34,Makara,06 02,Vrushabha,18 41,Meena,22 07,Makara,17 46,CN
07/06/2019,18:54:46,13 40,Karaka,27 17,Simha,04 19,Simha,02 54,Karaka,02 34,Simha,16 28,Dhanush,17 29,Makara,06 04,Vrushabha,18 40,Meena,22 06,Makara,17 43,CN
07/07/2019,18:58:42,14 38,Karaka,11 54,Kanya,04 26,Simha,04 07,Karaka,03 12,Simha,16 22,Dhanush,17 25,Makara,06 05,Vrushabha,18 40,Meena,22 05,Makara,17 40,CN
07/08/2019,19:02:39,15 35,Karaka,26 20,Kanya,04 28,Simha,05 20,Karaka,03 50,Simha,16 16,Dhanush,17 21,Makara,06 07,Vrushabha,18 39,Meena,22 03,Makara,17 37,CN
07/09/2019,19:06:36,16 32,Karaka,10 34,Tula,04 25,Simha,06 34,Karaka,04 28,Simha,16 11,Dhanush,17 16,Makara,06 09,Vrushabha,18 39,Meena,22 02,Makara,17 33,CN
07/10/2019,19:10:32,17 29,Karaka,24 33,Tula,04 18,Simha,07 48,Karaka,05 06,Simha,16 05,Dhanush,17 12,Makara,06 10,Vrushabha,18 38,Meena,22 00,Makara,17 30,CN
07/11/2019,19:14:29,18 27,Karaka,08 15,Vruschika,04 06,Simha,09 01,Karaka,05 44,Simha,15 60,Dhanush,17 07,Makara,06 12,Vrushabha,18 38,Meena,21 59,Makara,17 27,CN
07/12/2019,19:18:25,19 24,Karaka,21 41,Vruschika,03 50,Simha,10 15,Karaka,06 22,Simha,15 54,Dhanush,17 03,Makara,06 13,Vrushabha,18 37,Meena,21 57,Makara,17 24,CN
07/13/2019,19:22:22,20 21,Karaka,04 51,Dhanush,03 29,Simha,11 28,Karaka,07 01,Simha,15 49,Dhanush,16 58,Makara,06 15,Vrushabha,18 36,Meena,21 56,Makara,17 21,CN
07/14/2019,19:26:18,21 18,Karaka,17 47,Dhanush,03 04,Simha,12 42,Karaka,07 39,Simha,15 44,Dhanush,16 54,Makara,06 16,Vrushabha,18 36,Meena,21 54,Makara,17 18,CN
07/15/2019,19:30:15,22 15,Karaka,00 28,Makara,02 36,Simha,13 55,Karaka,08 17,Simha,15 39,Dhanush,16 50,Makara,06 18,Vrushabha,18 35,Meena,21 53,Makara,17 14,CN
07/16/2019,19:34:11,23 13,Karaka,12 58,Makara,02 04,Simha,15 09,Karaka,08 55,Simha,15 34,Dhanush,16 45,Makara,06 19,Vrushabha,18 34,Meena,21 51,Makara,17 11,CN
07/17/2019,19:38:08,24 10,Karaka,25 16,Makara,01 29,Simha,16 23,Karaka,09 33,Simha,15 30,Dhanush,16 41,Makara,06 20,Vrushabha,18 34,Meena,21 50,Makara,17 08,CN
07/18/2019,19:42:05,25 07,Karaka,07 24,Kumbha,00 51,Simha,17 36,Karaka,10 11,Simha,15 25,Dhanush,16 37,Makara,06 21,Vrushabha,18 33,Meena,21 49,Makara,17 05,CN
07/19/2019,19:46:01,26 04,Karaka,19 25,Kumbha,00 12,Simha,18 50,Karaka,10 49,Simha,15 21,Dhanush,16 32,Makara,06 23,Vrushabha,18 32,Meena,21 47,Makara,17 02,CN
07/20/2019,19:49:58,27 01,Karaka,01 19,Meena,29 31,Karaka,20 04,Karaka,11 27,Simha,15 17,Dhanush,16 28,Makara,06 24,Vrushabha,18 31,Meena,21 46,Makara,16 59,CN
07/21/2019,19:53:54,27 59,Karaka,13 10,Meena,28 50,Karaka,21 17,Karaka,12 05,Simha,15 13,Dhanush,16 24,Makara,06 25,Vrushabha,18 30,Meena,21 44,Makara,16 55,CN
07/22/2019,19:57:51,28 56,Karaka,25 01,Meena,28 09,Karaka,22 31,Karaka,12 43,Simha,15 09,Dhanush,16 19,Makara,06 26,Vrushabha,18 29,Meena,21 43,Makara,16 52,CN
07/23/2019,20:01:47,29 53,Karaka,06 56,Mesha,27 29,Karaka,23 45,Karaka,13 21,Simha,15 06,Dhanush,16 15,Makara,06 27,Vrushabha,18 28,Meena,21 41,Makara,16 49,CN
07/24/2019,20:05:44,00 50,Simha,18 57,Mesha,26 51,Karaka,24 59,Karaka,13 59,Simha,15 02,Dhanush,16 11,Makara,06 28,Vrushabha,18 27,Meena,21 40,Makara,16 46,CN
07/25/2019,20:09:40,01 48,Simha,01 10,Vrushabha,26 15,Karaka,26 13,Karaka,14 38,Simha,14 59,Dhanush,16 07,Makara,06 29,Vrushabha,18 26,Meena,21 38,Makara,16 43,CN
07/26/2019,20:13:37,02 45,Simha,13 39,Vrushabha,25 42,Karaka,27 26,Karaka,15 16,Simha,14 56,Dhanush,16 03,Makara,06 30,Vrushabha,18 25,Meena,21 37,Makara,16 39,CN
07/27/2019,20:17:34,03 42,Simha,26 28,Vrushabha,25 12,Karaka,28 40,Karaka,15 54,Simha,14 53,Dhanush,15 58,Makara,06 30,Vrushabha,18 24,Meena,21 36,Makara,16 36,CN
07/28/2019,20:21:30,04 40,Simha,09 40,Mithuna,24 47,Karaka,29 54,Karaka,16 32,Simha,14 50,Dhanush,15 54,Makara,06 31,Vrushabha,18 23,Meena,21 34,Makara,16 33,CN
07/29/2019,20:25:27,05 37,Simha,23 18,Mithuna,24 26,Karaka,01 08,Simha,17 10,Simha,14 47,Dhanush,15 50,Makara,06 32,Vrushabha,18 22,Meena,21 33,Makara,16 30,CN
07/30/2019,20:29:23,06 34,Simha,07 22,Karaka,24 11,Karaka,02 22,Simha,17 48,Simha,14 45,Dhanush,15 46,Makara,06 33,Vrushabha,18 21,Meena,21 31,Makara,16 27,CN
07/31/2019,20:33:20,07 32,Simha,21 49,Karaka,24 01,Karaka,03 36,Simha,18 26,Simha,14 43,Dhanush,15 42,Makara,06 33,Vrushabha,18 20,Meena,21 30,Makara,16 24,CN
08/01/2019,20:37:16,08 29,Simha,06 37,Simha,23 57,Karaka,04 50,Simha,19 04,Simha,14 41,Dhanush,15 38,Makara,06 34,Vrushabha,18 19,Meena,21 29,Makara,16 20,CN
08/02/2019,20:41:13,09 27,Simha,21 37,Simha,23 59,Karaka,06 04,Simha,19 42,Simha,14 39,Dhanush,15 35,Makara,06 34,Vrushabha,18 18,Meena,21 27,Makara,16 17,CN
08/03/2019,20:45:09,10 24,Simha,06 41,Kanya,24 07,Karaka,07 18,Simha,20 20,Simha,14 37,Dhanush,15 31,Makara,06 35,Vrushabha,18 16,Meena,21 26,Makara,16 14,CN
08/04/2019,20:49:06,11 22,Simha,21 39,Kanya,24 22,Karaka,08 32,Simha,20 58,Simha,14 36,Dhanush,15 27,Makara,06 35,Vrushabha,18 15,Meena,21 24,Makara,16 11,CN
08/05/2019,20:53:03,12 19,Simha,06 25,Tula,24 43,Karaka,09 46,Simha,21 36,Simha,14 34,Dhanush,15 23,Makara,06 36,Vrushabha,18 14,Meena,21 23,Makara,16 08,CN
08/06/2019,20:56:59,13 16,Simha,20 51,Tula,25 11,Karaka,10 60,Simha,22 14,Simha,14 33,Dhanush,15 20,Makara,06 36,Vrushabha,18 13,Meena,21 22,Makara,16 05,CN
08/07/2019,21:00:56,14 14,Simha,04 55,Vruschika,25 45,Karaka,12 14,Simha,22 53,Simha,14 32,Dhanush,15 16,Makara,06 36,Vrushabha,18 11,Meena,21 20,Makara,16 01,CN
08/08/2019,21:04:52,15 11,Simha,18 34,Vruschika,26 26,Karaka,13 28,Simha,23 31,Simha,14 31,Dhanush,15 13,Makara,06 36,Vrushabha,18 10,Meena,21 19,Makara,15 58,CN
08/09/2019,21:08:49,16 09,Simha,01 52,Dhanush,27 13,Karaka,14 42,Simha,24 09,Simha,14 31,Dhanush,15 09,Makara,06 37,Vrushabha,18 09,Meena,21 18,Makara,15 55,CN
08/10/2019,21:12:45,17 06,Simha,14 49,Dhanush,28 07,Karaka,15 56,Simha,24 47,Simha,14 31,Dhanush,15 06,Makara,06 37,Vrushabha,18 07,Meena,21 17,Makara,15 52,CN
08/11/2019,21:16:42,18 04,Simha,27 28,Dhanush,29 06,Karaka,17 10,Simha,25 25,Simha,14 30,Dhanush,15 02,Makara,06 37,Vrushabha,18 06,Meena,21 15,Makara,15 49,CN
08/12/2019,21:20:38,19 01,Simha,09 53,Makara,00 12,Simha,18 24,Simha,26 03,Simha,14 30,Dhanush,14 59,Makara,06 37,Vrushabha,18 05,Meena,21 14,Makara,15 45,CN
08/13/2019,21:24:35,19 59,Simha,22 07,Makara,01 24,Simha,19 38,Simha,26 41,Simha,14 30,Dhanush,14 56,Makara,06 37,Vrushabha,18 03,Meena,21 13,Makara,15 42,CN
08/14/2019,21:28:32,20 57,Simha,04 13,Kumbha,02 41,Simha,20 52,Simha,27 19,Simha,14 31,Dhanush,14 53,Makara,06 37,Vrushabha,18 02,Meena,21 12,Makara,15 39,CN
08/15/2019,21:32:28,21 54,Simha,16 12,Kumbha,04 03,Simha,22 07,Simha,27 57,Simha,14 31,Dhanush,14 50,Makara,06 37,Vrushabha,18 00,Meena,21 10,Makara,15 36,CN
08/16/2019,21:36:25,22 52,Simha,28 06,Kumbha,05 31,Simha,23 21,Simha,28 35,Simha,14 32,Dhanush,14 47,Makara,06 36,Vrushabha,17 59,Meena,21 09,Makara,15 33,CN
08/17/2019,21:40:21,23 49,Simha,09 58,Meena,07 03,Simha,24 35,Simha,29 13,Simha,14 33,Dhanush,14 44,Makara,06 36,Vrushabha,17 58,Meena,21 08,Makara,15 30,CN
08/18/2019,21:44:18,24 47,Simha,21 49,Meena,08 40,Simha,25 49,Simha,29 52,Simha,14 34,Dhanush,14 41,Makara,06 36,Vrushabha,17 56,Meena,21 07,Makara,15 26,CN
08/19/2019,21:48:14,25 45,Simha,03 41,Mesha,10 21,Simha,27 03,Simha,00 30,Kanya,14 35,Dhanush,14 38,Makara,06 36,Vrushabha,17 55,Meena,21 06,Makara,15 23,CN
08/20/2019,21:52:11,26 43,Simha,15 37,Mesha,12 05,Simha,28 18,Simha,01 08,Kanya,14 37,Dhanush,14 35,Makara,06 35,Vrushabha,17 53,Meena,21 05,Makara,15 20,CN
08/21/2019,21:56:07,27 40,Simha,27 39,Mesha,13 53,Simha,29 32,Simha,01 46,Kanya,14 38,Dhanush,14 33,Makara,06 35,Vrushabha,17 52,Meena,21 03,Makara,15 17,CN
08/22/2019,22:00:04,28 38,Simha,09 52,Vrushabha,15 44,Simha,00 46,Kanya,02 24,Kanya,14 40,Dhanush,14 30,Makara,06 34,Vrushabha,17 50,Meena,21 02,Makara,15 14,CN
08/23/2019,22:04:01,29 36,Simha,22 18,Vrushabha,17 36,Simha,02 00,Kanya,03 02,Kanya,14 42,Dhanush,14 28,Makara,06 34,Vrushabha,17 49,Meena,21 01,Makara,15 10,CN
08/24/2019,22:07:57,00 34,Kanya,05 02,Mithuna,19 31,Simha,03 15,Kanya,03 40,Kanya,14 44,Dhanush,14 25,Makara,06 33,Vrushabha,17 47,Meena,21 00,Makara,15 07,CN
08/25/2019,22:11:54,01 31,Kanya,18 08,Mithuna,21 28,Simha,04 29,Kanya,04 18,Kanya,14 47,Dhanush,14 23,Makara,06 33,Vrushabha,17 45,Meena,20 59,Makara,15 04,CN
08/26/2019,22:15:50,02 29,Kanya,01 39,Karaka,23 25,Simha,05 43,Kanya,04 57,Kanya,14 49,Dhanush,14 21,Makara,06 32,Vrushabha,17 44,Meena,20 58,Makara,15 01,CN
08/27/2019,22:19:47,03 27,Kanya,15 38,Karaka,25 23,Simha,06 58,Kanya,05 35,Kanya,14 52,Dhanush,14 19,Makara,06 31,Vrushabha,17 42,Meena,20 57,Makara,14 58,CN
08/28/2019,22:23:43,04 25,Kanya,00 03,Simha,27 22,Simha,08 12,Kanya,06 13,Kanya,14 55,Dhanush,14 17,Makara,06 31,Vrushabha,17 41,Meena,20 56,Makara,14 55,CN
08/29/2019,22:27:40,05 23,Kanya,14 53,Simha,29 21,Simha,09 26,Kanya,06 51,Kanya,14 58,Dhanush,14 15,Makara,06 30,Vrushabha,17 39,Meena,20 55,Makara,14 51,CN
08/30/2019,22:31:36,06 21,Kanya,00 01,Kanya,01 20,Kanya,10 41,Kanya,07 29,Kanya,15 01,Dhanush,14 13,Makara,06 29,Vrushabha,17 37,Meena,20 54,Makara,14 48,CN
