DATE,SID.TIME,SUN,SUN_P,MOON,MOON_P,MERCURY,MERCURY_P,VENUS,VENUS_P,MARS,MARS_P,JUPITER,JUPITER_P,SATURN,SATURN_P,URANUS,URANUS_P,NEPTUNE,NEPTUNE_P,PLUTO,PLUTO_P,NODE,NODE_P
01/29/2019,8:31:50,08 46,Kumbha,22 15,Vruschika,07 59,Kumbha,23 17,Dhanush,18 52,Mesha,17 15,Dhanush,14 38,Makara,28 49,Mesha,14 50,Meena,21 32,Makara,26 05,CN
01/30/2019,8:35:47,09 47,Kumbha,04 58,Dhanush,09 42,Kumbha,24 24,Dhanush,19 32,Mesha,17 25,Dhanush,14 44,Makara,28 50,Mesha,14 52,Meena,21 34,Makara,26 02,CN
01/31/2019,8:39:43,10 48,Kumbha,17 23,Dhanush,11 25,Kumbha,25 32,Dhanush,20 13,Mesha,17 36,Dhanush,14 51,Makara,28 51,Mesha,14 54,Meena,21 36,Makara,25 59,CN
02/01/2019,8:43:40,11 49,Kumbha,29 36,Dhanush,13 09,Kumbha,26 40,Dhanush,20 54,Mesha,17 46,Dhanush,14 57,Makara,28 52,Mesha,14 56,Meena,21 38,Makara,25 55,CN
02/02/2019,8:47:36,12 50,Kumbha,11 38,Makara,14 54,Kumbha,27 48,Dhanush,21 34,Mesha,17 56,Dhanush,15 04,Makara,28 54,Mesha,14 58,Meena,21 40,Makara,25 52,CN
02/03/2019,8:51:33,13 51,Kumbha,23 33,Makara,16 39,Kumbha,28 56,Dhanush,22 15,Mesha,18 07,Dhanush,15 11,Makara,28 55,Mesha,14 60,Meena,21 42,Makara,25 49,CN
02/04/2019,8:55:29,14 52,Kumbha,05 23,Kumbha,18 25,Kumbha,00 04,Makara,22 56,Mesha,18 17,Dhanush,15 17,Makara,28 56,Mesha,15 02,Meena,21 43,Makara,25 46,CN
02/05/2019,8:59:26,15 53,Kumbha,17 11,Kumbha,20 12,Kumbha,01 13,Makara,23 36,Mesha,18 27,Dhanush,15 24,Makara,28 58,Mesha,15 04,Meena,21 45,Makara,25 43,CN
02/06/2019,9:03:23,16 53,Kumbha,28 59,Kumbha,21 59,Kumbha,02 21,Makara,24 17,Mesha,18 37,Dhanush,15 30,Makara,28 59,Mesha,15 06,Meena,21 47,Makara,25 40,CN
02/07/2019,9:07:19,17 54,Kumbha,10 49,Meena,23 46,Kumbha,03 30,Makara,24 57,Mesha,18 47,Dhanush,15 36,Makara,29 01,Mesha,15 08,Meena,21 49,Makara,25 36,CN
02/08/2019,9:11:16,18 55,Kumbha,22 43,Meena,25 34,Kumbha,04 39,Makara,25 38,Mesha,18 56,Dhanush,15 43,Makara,29 03,Mesha,15 10,Meena,21 51,Makara,25 33,CN
02/09/2019,9:15:12,19 56,Kumbha,04 43,Mesha,27 22,Kumbha,05 48,Makara,26 19,Mesha,19 06,Dhanush,15 49,Makara,29 04,Mesha,15 12,Meena,21 53,Makara,25 30,CN
02/10/2019,9:19:09,20 57,Kumbha,16 52,Mesha,29 11,Kumbha,06 57,Makara,26 59,Mesha,19 15,Dhanush,15 55,Makara,29 06,Mesha,15 14,Meena,21 55,Makara,25 27,CN
02/11/2019,9:23:05,21 57,Kumbha,29 13,Mesha,00 59,Meena,08 06,Makara,27 40,Mesha,19 25,Dhanush,16 01,Makara,29 08,Mesha,15 16,Meena,21 56,Makara,25 24,CN
02/12/2019,9:27:02,22 58,Kumbha,11 50,Vrushabha,02 48,Meena,09 16,Makara,28 20,Mesha,19 34,Dhanush,16 08,Makara,29 09,Mesha,15 19,Meena,21 58,Makara,25 21,CN
02/13/2019,9:30:58,23 59,Kumbha,24 45,Vrushabha,04 36,Meena,10 25,Makara,29 01,Mesha,19 43,Dhanush,16 14,Makara,29 11,Mesha,15 21,Meena,21 60,Makara,25 17,CN
02/14/2019,9:34:55,24 59,Kumbha,08 03,Mithuna,06 24,Meena,11 35,Makara,29 42,Mesha,19 52,Dhanush,16 20,Makara,29 13,Mesha,15 23,Meena,22 02,Makara,25 14,CN
02/15/2019,9:38:52,26 00,Kumbha,21 46,Mithuna,08 12,Meena,12 45,Makara,00 22,Vrushabha,20 01,Dhanush,16 26,Makara,29 15,Mesha,15 25,Meena,22 04,Makara,25 11,CN
02/16/2019,9:42:48,27 01,Kumbha,05 55,Karaka,09 58,Meena,13 54,Makara,01 03,Vrushabha,20 10,Dhanush,16 32,Makara,29 17,Mesha,15 27,Meena,22 05,Makara,25 08,CN
02/17/2019,9:46:45,28 01,Kumbha,20 29,Karaka,11 43,Meena,15 04,Makara,01 43,Vrushabha,20 18,Dhanush,16 38,Makara,29 19,Mesha,15 29,Meena,22 07,Makara,25 05,CN
02/18/2019,9:50:41,29 02,Kumbha,05 24,Simha,13 26,Meena,16 14,Makara,02 24,Vrushabha,20 27,Dhanush,16 44,Makara,29 21,Mesha,15 32,Meena,22 09,Makara,25 01,CN
02/19/2019,9:54:38,00 02,Meena,20 35,Simha,15 07,Meena,17 24,Makara,03 04,Vrushabha,20 35,Dhanush,16 49,Makara,29 23,Mesha,15 34,Meena,22 10,Makara,24 58,CN
